A Melodic Minor, Cycle 2
-------------------------
4-way close: (1 3 5 7) --> (7 1 3 5)
A  C  E  G♯     Am(maj7)
A  B  D  F♯     Bm7
G♯ B  C  E      Caug(maj7)
F♯ A  C  D      D7
E  G♯ B  D      E7
E  F♯ A  C      F♯ø
D  F♯ G♯ B      G♯ø
C  E  G♯ A      Am(maj7)
B  D  F♯ A      Bm7
B  C  E  G♯     Caug(maj7)
A  C  D  F♯     D7
G♯ B  D  E      E7
F♯ A  C  E      F♯ø
F♯ G♯ B  D      G♯ø
E  G♯ A  C      Am(maj7)
D  F♯ A  B      Bm7
C  E  G♯ B      Caug(maj7)
C  D  F♯ A      D7
B  D  E  G♯     E7
A  C  E  F♯     F♯ø
G♯ B  D  F♯     G♯ø
G♯ A  C  E      Am(maj7)
F♯ A  B  D      Bm7
E  G♯ B  C      Caug(maj7)
D  F♯ A  C      D7
D  E  G♯ B      E7
C  E  F♯ A      F♯ø
B  D  F♯ G♯     G♯ø
-------------------------
Drop 2: (1 5 7 3) --> (7 3 5 1)
A  E  G♯ C      Am(maj7)
A  D  F♯ B      Bm7
G♯ C  E  B      Caug(maj7)
F♯ C  D  A      D7
E  B  D  G♯     E7
E  A  C  F♯     F♯ø
D  G♯ B  F♯     G♯ø
C  G♯ A  E      Am(maj7)
B  F♯ A  D      Bm7
B  E  G♯ C      Caug(maj7)
A  D  F♯ C      D7
G♯ D  E  B      E7
F♯ C  E  A      F♯ø
F♯ B  D  G♯     G♯ø
E  A  C  G♯     Am(maj7)
D  A  B  F♯     Bm7
C  G♯ B  E      Caug(maj7)
C  F♯ A  D      D7
B  E  G♯ D      E7
A  E  F♯ C      F♯ø
G♯ D  F♯ B      G♯ø
G♯ C  E  A      Am(maj7)
F♯ B  D  A      Bm7
E  B  C  G♯     Caug(maj7)
D  A  C  F♯     D7
D  G♯ B  E      E7
C  F♯ A  E      F♯ø
B  F♯ G♯ D      G♯ø
-------------------------
Drop 3: (1 7 3 5) --> (7 5 1 3)
A  G♯ C  E      Am(maj7)
A  F♯ B  D      Bm7
G♯ E  B  C      Caug(maj7)
F♯ D  A  C      D7
E  D  G♯ B      E7
E  C  F♯ A      F♯ø
D  B  F♯ G♯     G♯ø
C  A  E  G♯     Am(maj7)
B  A  D  F♯     Bm7
B  G♯ C  E      Caug(maj7)
A  F♯ C  D      D7
G♯ E  B  D      E7
F♯ E  A  C      F♯ø
F♯ D  G♯ B      G♯ø
E  C  G♯ A      Am(maj7)
D  B  F♯ A      Bm7
C  B  E  G♯     Caug(maj7)
C  A  D  F♯     D7
B  G♯ D  E      E7
A  F♯ C  E      F♯ø
G♯ F♯ B  D      G♯ø
G♯ E  A  C      Am(maj7)
F♯ D  A  B      Bm7
E  C  G♯ B      Caug(maj7)
D  C  F♯ A      D7
D  B  E  G♯     E7
C  A  E  F♯     F♯ø
B  G♯ D  F♯     G♯ø
-------------------------
Drop 2 and 3: (1 3 7 5) --> (7 1 5 3)
A  C  G♯ E      Am(maj7)
A  B  F♯ D      Bm7
G♯ B  E  C      Caug(maj7)
F♯ A  D  C      D7
E  G♯ D  B      E7
E  F♯ C  A      F♯ø
D  F♯ B  G♯     G♯ø
C  E  A  G♯     Am(maj7)
B  D  A  F♯     Bm7
B  C  G♯ E      Caug(maj7)
A  C  F♯ D      D7
G♯ B  E  D      E7
F♯ A  E  C      F♯ø
F♯ G♯ D  B      G♯ø
E  G♯ C  A      Am(maj7)
D  F♯ B  A      Bm7
C  E  B  G♯     Caug(maj7)
C  D  A  F♯     D7
B  D  G♯ E      E7
A  C  F♯ E      F♯ø
G♯ B  F♯ D      G♯ø
G♯ A  E  C      Am(maj7)
F♯ A  D  B      Bm7
E  G♯ C  B      Caug(maj7)
D  F♯ C  A      D7
D  E  B  G♯     E7
C  E  A  F♯     F♯ø
B  D  G♯ F♯     G♯ø
-------------------------
Drop 2 and 4: (1 5 3 7) --> (7 3 1 5)
A  E  C  G♯     Am(maj7)
A  D  B  F♯     Bm7
G♯ C  B  E      Caug(maj7)
F♯ C  A  D      D7
E  B  G♯ D      E7
E  A  F♯ C      F♯ø
D  G♯ F♯ B      G♯ø
C  G♯ E  A      Am(maj7)
B  F♯ D  A      Bm7
B  E  C  G♯     Caug(maj7)
A  D  C  F♯     D7
G♯ D  B  E      E7
F♯ C  A  E      F♯ø
F♯ B  G♯ D      G♯ø
E  A  G♯ C      Am(maj7)
D  A  F♯ B      Bm7
C  G♯ E  B      Caug(maj7)
C  F♯ D  A      D7
B  E  D  G♯     E7
A  E  C  F♯     F♯ø
G♯ D  B  F♯     G♯ø
G♯ C  A  E      Am(maj7)
F♯ B  A  D      Bm7
E  B  G♯ C      Caug(maj7)
D  A  F♯ C      D7
D  G♯ E  B      E7
C  F♯ E  A      F♯ø
B  F♯ D  G♯     G♯ø
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 5 3 1)
A  G♯ E  C      Am(maj7)
A  F♯ D  B      Bm7
G♯ E  C  B      Caug(maj7)
F♯ D  C  A      D7
E  D  B  G♯     E7
E  C  A  F♯     F♯ø
D  B  G♯ F♯     G♯ø
C  A  G♯ E      Am(maj7)
B  A  F♯ D      Bm7
B  G♯ E  C      Caug(maj7)
A  F♯ D  C      D7
G♯ E  D  B      E7
F♯ E  C  A      F♯ø
F♯ D  B  G♯     G♯ø
E  C  A  G♯     Am(maj7)
D  B  A  F♯     Bm7
C  B  G♯ E      Caug(maj7)
C  A  F♯ D      D7
B  G♯ E  D      E7
A  F♯ E  C      F♯ø
G♯ F♯ D  B      G♯ø
G♯ E  C  A      Am(maj7)
F♯ D  B  A      Bm7
E  C  B  G♯     Caug(maj7)
D  C  A  F♯     D7
D  B  G♯ E      E7
C  A  F♯ E      F♯ø
B  G♯ F♯ D      G♯ø
-------------------------
