A Melodic Minor, Cycle 6
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
A  C  E  G♯     Am(maj7)
A  C  E  F♯     F♯ø
A  C  D  F♯     D7
A  B  D  F♯     Bm7
G♯ B  D  F♯     G♯ø
G♯ B  D  E      E7
G♯ B  C  E      Caug(maj7)
G♯ A  C  E      Am(maj7)
F♯ A  C  E      F♯ø
F♯ A  C  D      D7
F♯ A  B  D      Bm7
F♯ G♯ B  D      G♯ø
E  G♯ B  D      E7
E  G♯ B  C      Caug(maj7)
E  G♯ A  C      Am(maj7)
E  F♯ A  C      F♯ø
D  F♯ A  C      D7
D  F♯ A  B      Bm7
D  F♯ G♯ B      G♯ø
D  E  G♯ B      E7
C  E  G♯ B      Caug(maj7)
C  E  G♯ A      Am(maj7)
C  E  F♯ A      F♯ø
C  D  F♯ A      D7
B  D  F♯ A      Bm7
B  D  F♯ G♯     G♯ø
B  D  E  G♯     E7
B  C  E  G♯     Caug(maj7)
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
A  E  G♯ C      Am(maj7)
A  E  F♯ C      F♯ø
A  D  F♯ C      D7
A  D  F♯ B      Bm7
G♯ D  F♯ B      G♯ø
G♯ D  E  B      E7
G♯ C  E  B      Caug(maj7)
G♯ C  E  A      Am(maj7)
F♯ C  E  A      F♯ø
F♯ C  D  A      D7
F♯ B  D  A      Bm7
F♯ B  D  G♯     G♯ø
E  B  D  G♯     E7
E  B  C  G♯     Caug(maj7)
E  A  C  G♯     Am(maj7)
E  A  C  F♯     F♯ø
D  A  C  F♯     D7
D  A  B  F♯     Bm7
D  G♯ B  F♯     G♯ø
D  G♯ B  E      E7
C  G♯ B  E      Caug(maj7)
C  G♯ A  E      Am(maj7)
C  F♯ A  E      F♯ø
C  F♯ A  D      D7
B  F♯ A  D      Bm7
B  F♯ G♯ D      G♯ø
B  E  G♯ D      E7
B  E  G♯ C      Caug(maj7)
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
A  G♯ C  E      Am(maj7)
A  F♯ C  E      F♯ø
A  F♯ C  D      D7
A  F♯ B  D      Bm7
G♯ F♯ B  D      G♯ø
G♯ E  B  D      E7
G♯ E  B  C      Caug(maj7)
G♯ E  A  C      Am(maj7)
F♯ E  A  C      F♯ø
F♯ D  A  C      D7
F♯ D  A  B      Bm7
F♯ D  G♯ B      G♯ø
E  D  G♯ B      E7
E  C  G♯ B      Caug(maj7)
E  C  G♯ A      Am(maj7)
E  C  F♯ A      F♯ø
D  C  F♯ A      D7
D  B  F♯ A      Bm7
D  B  F♯ G♯     G♯ø
D  B  E  G♯     E7
C  B  E  G♯     Caug(maj7)
C  A  E  G♯     Am(maj7)
C  A  E  F♯     F♯ø
C  A  D  F♯     D7
B  A  D  F♯     Bm7
B  G♯ D  F♯     G♯ø
B  G♯ D  E      E7
B  G♯ C  E      Caug(maj7)
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
A  C  G♯ E      Am(maj7)
A  C  F♯ E      F♯ø
A  C  F♯ D      D7
A  B  F♯ D      Bm7
G♯ B  F♯ D      G♯ø
G♯ B  E  D      E7
G♯ B  E  C      Caug(maj7)
G♯ A  E  C      Am(maj7)
F♯ A  E  C      F♯ø
F♯ A  D  C      D7
F♯ A  D  B      Bm7
F♯ G♯ D  B      G♯ø
E  G♯ D  B      E7
E  G♯ C  B      Caug(maj7)
E  G♯ C  A      Am(maj7)
E  F♯ C  A      F♯ø
D  F♯ C  A      D7
D  F♯ B  A      Bm7
D  F♯ B  G♯     G♯ø
D  E  B  G♯     E7
C  E  B  G♯     Caug(maj7)
C  E  A  G♯     Am(maj7)
C  E  A  F♯     F♯ø
C  D  A  F♯     D7
B  D  A  F♯     Bm7
B  D  G♯ F♯     G♯ø
B  D  G♯ E      E7
B  C  G♯ E      Caug(maj7)
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
A  E  C  G♯     Am(maj7)
A  E  C  F♯     F♯ø
A  D  C  F♯     D7
A  D  B  F♯     Bm7
G♯ D  B  F♯     G♯ø
G♯ D  B  E      E7
G♯ C  B  E      Caug(maj7)
G♯ C  A  E      Am(maj7)
F♯ C  A  E      F♯ø
F♯ C  A  D      D7
F♯ B  A  D      Bm7
F♯ B  G♯ D      G♯ø
E  B  G♯ D      E7
E  B  G♯ C      Caug(maj7)
E  A  G♯ C      Am(maj7)
E  A  F♯ C      F♯ø
D  A  F♯ C      D7
D  A  F♯ B      Bm7
D  G♯ F♯ B      G♯ø
D  G♯ E  B      E7
C  G♯ E  B      Caug(maj7)
C  G♯ E  A      Am(maj7)
C  F♯ E  A      F♯ø
C  F♯ D  A      D7
B  F♯ D  A      Bm7
B  F♯ D  G♯     G♯ø
B  E  D  G♯     E7
B  E  C  G♯     Caug(maj7)
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
A  G♯ E  C      Am(maj7)
A  F♯ E  C      F♯ø
A  F♯ D  C      D7
A  F♯ D  B      Bm7
G♯ F♯ D  B      G♯ø
G♯ E  D  B      E7
G♯ E  C  B      Caug(maj7)
G♯ E  C  A      Am(maj7)
F♯ E  C  A      F♯ø
F♯ D  C  A      D7
F♯ D  B  A      Bm7
F♯ D  B  G♯     G♯ø
E  D  B  G♯     E7
E  C  B  G♯     Caug(maj7)
E  C  A  G♯     Am(maj7)
E  C  A  F♯     F♯ø
D  C  A  F♯     D7
D  B  A  F♯     Bm7
D  B  G♯ F♯     G♯ø
D  B  G♯ E      E7
C  B  G♯ E      Caug(maj7)
C  A  G♯ E      Am(maj7)
C  A  F♯ E      F♯ø
C  A  F♯ D      D7
B  A  F♯ D      Bm7
B  G♯ F♯ D      G♯ø
B  G♯ E  D      E7
B  G♯ E  C      Caug(maj7)
-------------------------
