A Melodic Minor, Cycle 3
-------------------------
4-way close: (1 3 5 7) --> (7 1 3 5)
A  C  E  G♯     Am(maj7)
B  C  E  G♯     Caug(maj7)
B  D  E  G♯     E7
B  D  F♯ G♯     G♯ø
B  D  F♯ A      Bm7
C  D  F♯ A      D7
C  E  F♯ A      F♯ø
C  E  G♯ A      Am(maj7)
C  E  G♯ B      Caug(maj7)
D  E  G♯ B      E7
D  F♯ G♯ B      G♯ø
D  F♯ A  B      Bm7
D  F♯ A  C      D7
E  F♯ A  C      F♯ø
E  G♯ A  C      Am(maj7)
E  G♯ B  C      Caug(maj7)
E  G♯ B  D      E7
F♯ G♯ B  D      G♯ø
F♯ A  B  D      Bm7
F♯ A  C  D      D7
F♯ A  C  E      F♯ø
G♯ A  C  E      Am(maj7)
G♯ B  C  E      Caug(maj7)
G♯ B  D  E      E7
G♯ B  D  F♯     G♯ø
A  B  D  F♯     Bm7
A  C  D  F♯     D7
A  C  E  F♯     F♯ø
-------------------------
Drop 2: (1 5 7 3) --> (7 3 5 1)
A  E  G♯ C      Am(maj7)
B  E  G♯ C      Caug(maj7)
B  E  G♯ D      E7
B  F♯ G♯ D      G♯ø
B  F♯ A  D      Bm7
C  F♯ A  D      D7
C  F♯ A  E      F♯ø
C  G♯ A  E      Am(maj7)
C  G♯ B  E      Caug(maj7)
D  G♯ B  E      E7
D  G♯ B  F♯     G♯ø
D  A  B  F♯     Bm7
D  A  C  F♯     D7
E  A  C  F♯     F♯ø
E  A  C  G♯     Am(maj7)
E  B  C  G♯     Caug(maj7)
E  B  D  G♯     E7
F♯ B  D  G♯     G♯ø
F♯ B  D  A      Bm7
F♯ C  D  A      D7
F♯ C  E  A      F♯ø
G♯ C  E  A      Am(maj7)
G♯ C  E  B      Caug(maj7)
G♯ D  E  B      E7
G♯ D  F♯ B      G♯ø
A  D  F♯ B      Bm7
A  D  F♯ C      D7
A  E  F♯ C      F♯ø
-------------------------
Drop 3: (1 7 3 5) --> (7 5 1 3)
A  G♯ C  E      Am(maj7)
B  G♯ C  E      Caug(maj7)
B  G♯ D  E      E7
B  G♯ D  F♯     G♯ø
B  A  D  F♯     Bm7
C  A  D  F♯     D7
C  A  E  F♯     F♯ø
C  A  E  G♯     Am(maj7)
C  B  E  G♯     Caug(maj7)
D  B  E  G♯     E7
D  B  F♯ G♯     G♯ø
D  B  F♯ A      Bm7
D  C  F♯ A      D7
E  C  F♯ A      F♯ø
E  C  G♯ A      Am(maj7)
E  C  G♯ B      Caug(maj7)
E  D  G♯ B      E7
F♯ D  G♯ B      G♯ø
F♯ D  A  B      Bm7
F♯ D  A  C      D7
F♯ E  A  C      F♯ø
G♯ E  A  C      Am(maj7)
G♯ E  B  C      Caug(maj7)
G♯ E  B  D      E7
G♯ F♯ B  D      G♯ø
A  F♯ B  D      Bm7
A  F♯ C  D      D7
A  F♯ C  E      F♯ø
-------------------------
Drop 2 and 3: (1 3 7 5) --> (7 1 5 3)
A  C  G♯ E      Am(maj7)
B  C  G♯ E      Caug(maj7)
B  D  G♯ E      E7
B  D  G♯ F♯     G♯ø
B  D  A  F♯     Bm7
C  D  A  F♯     D7
C  E  A  F♯     F♯ø
C  E  A  G♯     Am(maj7)
C  E  B  G♯     Caug(maj7)
D  E  B  G♯     E7
D  F♯ B  G♯     G♯ø
D  F♯ B  A      Bm7
D  F♯ C  A      D7
E  F♯ C  A      F♯ø
E  G♯ C  A      Am(maj7)
E  G♯ C  B      Caug(maj7)
E  G♯ D  B      E7
F♯ G♯ D  B      G♯ø
F♯ A  D  B      Bm7
F♯ A  D  C      D7
F♯ A  E  C      F♯ø
G♯ A  E  C      Am(maj7)
G♯ B  E  C      Caug(maj7)
G♯ B  E  D      E7
G♯ B  F♯ D      G♯ø
A  B  F♯ D      Bm7
A  C  F♯ D      D7
A  C  F♯ E      F♯ø
-------------------------
Drop 2 and 4: (1 5 3 7) --> (7 3 1 5)
A  E  C  G♯     Am(maj7)
B  E  C  G♯     Caug(maj7)
B  E  D  G♯     E7
B  F♯ D  G♯     G♯ø
B  F♯ D  A      Bm7
C  F♯ D  A      D7
C  F♯ E  A      F♯ø
C  G♯ E  A      Am(maj7)
C  G♯ E  B      Caug(maj7)
D  G♯ E  B      E7
D  G♯ F♯ B      G♯ø
D  A  F♯ B      Bm7
D  A  F♯ C      D7
E  A  F♯ C      F♯ø
E  A  G♯ C      Am(maj7)
E  B  G♯ C      Caug(maj7)
E  B  G♯ D      E7
F♯ B  G♯ D      G♯ø
F♯ B  A  D      Bm7
F♯ C  A  D      D7
F♯ C  A  E      F♯ø
G♯ C  A  E      Am(maj7)
G♯ C  B  E      Caug(maj7)
G♯ D  B  E      E7
G♯ D  B  F♯     G♯ø
A  D  B  F♯     Bm7
A  D  C  F♯     D7
A  E  C  F♯     F♯ø
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 5 3 1)
A  G♯ E  C      Am(maj7)
B  G♯ E  C      Caug(maj7)
B  G♯ E  D      E7
B  G♯ F♯ D      G♯ø
B  A  F♯ D      Bm7
C  A  F♯ D      D7
C  A  F♯ E      F♯ø
C  A  G♯ E      Am(maj7)
C  B  G♯ E      Caug(maj7)
D  B  G♯ E      E7
D  B  G♯ F♯     G♯ø
D  B  A  F♯     Bm7
D  C  A  F♯     D7
E  C  A  F♯     F♯ø
E  C  A  G♯     Am(maj7)
E  C  B  G♯     Caug(maj7)
E  D  B  G♯     E7
F♯ D  B  G♯     G♯ø
F♯ D  B  A      Bm7
F♯ D  C  A      D7
F♯ E  C  A      F♯ø
G♯ E  C  A      Am(maj7)
G♯ E  C  B      Caug(maj7)
G♯ E  D  B      E7
G♯ F♯ D  B      G♯ø
A  F♯ D  B      Bm7
A  F♯ D  C      D7
A  F♯ E  C      F♯ø
-------------------------
