D♯ Harmonic Minor, Cycle 6
-------------------------
4-way close: (1 2 5 7) --> (1 5 7 2)
D♯ E♯ A♯ C𝄪     D♯
B  F♯ A♯ C𝄪     Bm(maj7)
G♯ F♯ A♯ D♯     G♯
E♯ F♯ B  D♯     E♯
C𝄪 G♯ B  D♯     C𝄪
A♯ G♯ B  E♯     A♯
F♯ G♯ C𝄪 E♯     F♯
D♯ A♯ C𝄪 E♯     D♯
B  A♯ C𝄪 F♯     Bm(maj7)
G♯ A♯ D♯ F♯     G♯
E♯ B  D♯ F♯     E♯
C𝄪 B  D♯ G♯     C𝄪
A♯ B  E♯ G♯     A♯
F♯ C𝄪 E♯ G♯     F♯
D♯ C𝄪 E♯ A♯     D♯
B  C𝄪 F♯ A♯     Bm(maj7)
G♯ D♯ F♯ A♯     G♯
E♯ D♯ F♯ B      E♯
C𝄪 D♯ G♯ B      C𝄪
A♯ E♯ G♯ B      A♯
F♯ E♯ G♯ C𝄪     F♯
Alternate Voicing:
E♯ A♯ C𝄪 D♯     D♯
C𝄪 A♯ B  F♯     Bm(maj7)
A♯ G♯ D♯ F♯     G♯
F♯ B  D♯ E♯     E♯
D♯ B  C𝄪 G♯     C𝄪
B  A♯ E♯ G♯     A♯
G♯ C𝄪 E♯ F♯     F♯
E♯ C𝄪 D♯ A♯     D♯
C𝄪 B  F♯ A♯     Bm(maj7)
A♯ D♯ F♯ G♯     G♯
F♯ D♯ E♯ B      E♯
D♯ C𝄪 G♯ B      C𝄪
B  E♯ G♯ A♯     A♯
G♯ E♯ F♯ C𝄪     F♯
E♯ D♯ A♯ C𝄪     D♯
C𝄪 F♯ A♯ B      Bm(maj7)
A♯ F♯ G♯ D♯     G♯
F♯ E♯ B  D♯     E♯
D♯ G♯ B  C𝄪     C𝄪
B  G♯ A♯ E♯     A♯
G♯ F♯ C𝄪 E♯     F♯
-------------------------
Drop 2: (1 5 7 2) --> (1 7 2 5)
D♯ A♯ C𝄪 E♯     D♯
B  A♯ C𝄪 F♯     Bm(maj7)
G♯ A♯ D♯ F♯     G♯
E♯ B  D♯ F♯     E♯
C𝄪 B  D♯ G♯     C𝄪
