B Melodic Minor, Cycle 2
G♯ E  D  B      E7
F♯ E  C♯ A♯     F♯7
F♯ D  B  G♯     G♯ø
E  C♯ A♯ G♯     A♯ø
D  B  A♯ F♯     Bm(maj7)
C♯ B  G♯ E      C♯m7
C♯ A♯ F♯ D      Daug(maj7)
B  G♯ E  D      E7
A♯ F♯ E  C♯     F♯7
G♯ F♯ D  B      G♯ø
G♯ E  C♯ A♯     A♯ø
F♯ D  B  A♯     Bm(maj7)
E  C♯ B  G♯     C♯m7
D  C♯ A♯ F♯     Daug(maj7)
D  B  G♯ E      E7
C♯ A♯ F♯ E      F♯7
B  G♯ F♯ D      G♯ø
A♯ G♯ E  C♯     A♯ø
A♯ F♯ D  B      Bm(maj7)
G♯ E  C♯ B      C♯m7
F♯ D  C♯ A♯     Daug(maj7)
E  D  B  G♯     E7
E  C♯ A♯ F♯     F♯7
D  B  G♯ F♯     G♯ø
C♯ A♯ G♯ E      A♯ø
-------------------------
